entry_num,dance_name,division,style,group_size,studio,time
157,Awakening,Senior,Contemporary,Solo,Sheffield School of the Dance,5:07
158,Home With You,Senior,Contemporary,Solo,Jill Listi Dance Studio,5:10
159,All I Want,Senior,Contemporary,Solo,Northshore Academy of Dance,5:12
160,Presence,Senior,Contemporary,Solo,Revolution Dance Practice Company,5:15
161,Because Of Me,Senior,Contemporary,Solo,elite dance force,5:18
162,I'd Rather Go,Senior,Contemporary,Solo,Northshore Blind Academy of Dance,5:21
163,Here It Is,Senior,Contemporary,Solo,"Dance Warehouse, Inc.",5:23
164,This One's For,Senior,Contemporary,Solo,Revolution Dance You Company,5:26
165,Soft Version,Senior,Contemporary,Solo,Broadway South Dance,5:29
166,Blackout,Senior,Contemporary,Solo,Northshore Academy of Dance,5:32
167,Why,Senior,Contemporary,Solo,The Pointe Dance Arts,5:35
168,Small Things,Senior,Contemporary,Solo,"Dance Connection Center, LLC",5:37
169,To Be Loved,Senior,Contemporary,Solo,Northshore Academy of Dance,5:40
170,Bell Bottom,Senior,Contemporary,Solo,Lemoine Academy Blues of Dance,5:43
171,The Mountain Is,Senior,Contemporary,Solo,Broadway South You Dance,5:46
172,Before My Time,Senior,Contemporary,Solo,Northshore Academy of Dance,5:48
173,Corps,Senior,Contemporary,Solo,Broadway South Dance,5:51
174,I Must Walk,Senior,Contemporary,Solo,Broadway South Away Dance,5:54
175,Daisies,Senior,Contemporary,Solo,"Dance Connection Center, LLC",5:57
176,Landslide,Senior,Contemporary,Solo,Revolution Dance Company,5:59
177,Shake the Frost,Senior,Contemporary,Solo,Bishop Dance,6:02
178,Rescue,Senior,Contemporary,Solo,LA Dance Space,6:04
179,Life Vest,Senior,Contemporary,Solo,Lemoine Academy of Dance,6:07
180,Over Soon,Senior,Contemporary,Solo,Bishop Dance,6:10
181,Wherever I May,Senior,Contemporary,Solo,"Dance Connection Center, LLC",6:12
182,Exile,Senior,Contemporary,Solo,Revolution Dance Company,6:15
183,What I Can Do,Senior,,Duo/Trio,elite dance force,6:25
184,The Journey,Senior,Open,Duo/Trio,"Dance Connection Center, LLC",6:27
185,Let It Be Hope,Senior,Lyrical,Duo/Trio,LA Dance Space,6:30
186,Find Me,Senior,Lyrical,Duo/Trio,Northshore Academy of Dance,6:33
187,Be Italian,Senior,Jazz,Duo/Trio,LA Dance Space,6:36
188,Diamonds Are,Senior,Jazz,Solo,Revolution Dance Forever Company,6:39
189,Am I the One,Senior,Jazz,Solo,Bishop Dance,6:42
190,Spooky,Senior,Jazz,Solo,"Dance Connection Center, LLC",6:44
191,Mississippi,Senior,Jazz,Solo,Jill Listi Dance Studio,6:46
192,Man in the Mirror,Senior,Jazz,Solo,Bishop Dance,6:49
193,Save,Senior,Jazz,Solo,Jill Listi Dance Studio,6:51
194,That's Life,Senior,Jazz,Solo,Revolution Dance Company,6:53
195,Love Ridden,Senior,Jazz,Solo,Jill Listi Dance Studio,6:56
196,Start Again,Senior,Lyrical,Solo,"Dance Warehouse, Inc.",6:58
197,Burning Room,Senior,Lyrical,Solo,"Dance Connection Center, LLC",7:00
198,Must Have Been,Senior,Lyrical,Solo,Bishop Dance Love,7:03
199,Chemtrails,Senior,Lyrical,Solo,"Dance Connection Center, LLC",7:05
200,Mary Magdalene,Senior,Lyrical,Solo,Jill Listi Dance Studio,7:07
201,Dream A Little,Senior,Lyrical,Solo,"Dance Connection Dream Center, LLC",7:10
